,index,LOCODE,Name,NameWoDiacritics,SubDiv,Function,Status,Date,Coordinates,Latitude,Longitude
350,840,IN NAB,Nabarangapur,Nabarangapur,OR,--3-----,RL,2001.0,1913N 08232E,19.13,82.32
351,841,IN NDD,Nadiad,Nadiad,GJ,--3-----,RL,1401.0,2242N 07252E,22.42,72.52
352,842,IN NGA,Nagaon,Nagaon,AS,--3-----,RL,1201.0,2621N 09241E,26.21,92.41
353,843,IN NPT,Nagappattinam,Nagappattinam,TN,1-3-----,AA,207.0,1047N 07949E,10.47,79.49
354,846,IN NAU,Nagaur,Nagaur,RJ,--3-----,RL,1201.0,2712N 07344E,27.12,73.44
355,847,IN NGC,Nagercoil,Nagercoil,TN,1-3-----,RL,701.0,0810N 07726E,8.1,77.26
356,849,IN NAT,Nainital,Nainital,UT,--3-----,AA,1601.0,2923N 07927E,29.23,79.27
357,850,IN NJD,Najibabad,Najibabad,UP,--3-----,RL,1301.0,2938N 07820E,29.38,78.2
358,851,IN NAA,Nalagarh,Nalagarh,PB,--3-----,AA,1601.0,3103N 07643E,31.03,76.43
359,852,IN NAL,Nalbari,Nalbari,AS,--3-----,RL,1201.0,2641N 09151E,26.41,91.51
360,853,IN TNN,Namakkal,Namakkal,TN,--3-----,RL,1301.0,1114N 07810E,11.14,78.1
361,855,IN NMK,Namkum,Namkum,JH,-23-----,RL,1401.0,2321N 08522E,23.21,85.22
362,865,IN NMB,Navi Mumbai,Navi Mumbai,MH,--3--6--,RL,607.0,1910N 07300E,19.1,73.0
363,868,IN QNW,Nawanshahar,Nawanshahar,JK,--3-----,RL,907.0,3246N 07432E,32.46,74.32
364,869,IN NYG,Nayagarh,Nayagarh,OR,--3-----,RL,1201.0,2008N 08506E,20.08,85.06
365,870,IN CNC,NCTL SEZ/Kancheepuram,NCTL SEZ/Kancheepuram,TN,--3--6--,AA,1207.0,1250N 07943E,12.5,79.43
366,874,IN NEM,Neemuch,Neemuch,MP,--3-----,RL,1201.0,2427N 07452E,24.27,74.52
367,877,IN ICD,New Delhi,New Delhi,DL,123--6--,RL,407.0,2836N 07712E,28.36,77.12
368,879,IN NTU,New Tuticorin,New Tuticorin,TN,1-3-----,RL,607.0,0845N 07813E,8.45,78.13
369,885,IN NID,Nidadavole,Nidadavole,AP,--3-----,RL,1207.0,1655N 08140E,16.55,81.4
370,886,IN NGI,Nilgiris,Nilgiris,TN,--3-----,RL,1201.0,1129N 07644E,11.29,76.44
371,888,IN NEE,Nindakara,Nindakara,KL,1-3-----,AA,207.0,0856N 07632E,8.56,76.32
372,891,IN NIZ,Nizamabad,Nizamabad,AP,--3-----,RL,1201.0,1840N 07807E,18.4,78.07
373,892,IN NDA,Noida,Noida,UP,--3-----,AA,1601.0,2834N 07719E,28.34,77.19
374,893,IN NSI,North Sikkim,North Sikkim,SK,--3-----,RL,1201.0,2749N 08833E,27.49,88.33
375,895,IN NUA,Nuapada,Nuapada,OR,--3-----,RL,1201.0,2049N 08231E,20.49,82.31
376,896,IN NUH,Nuh,Nuh,HR,--3-----,RL,1401.0,2807N 07701E,28.07,77.01
377,897,IN KUR,OIIDC SEZ/Khurda,OIIDC SEZ/Khurda,OR,--3-----,RL,1407.0,2011N 08537E,20.11,85.37
378,900,IN ONG,Ongole,Ongole,AP,--3-----,RL,901.0,1530N 08003E,15.3,80.03
379,903,IN HOI,OPTO INFRA SEZ/Hassan,OPTO INFRA SEZ/Hassan,KA,--3--6--,AA,1207.0,1300N 07605E,13.0,76.05
380,907,IN GJT,Padra,Padra,GJ,--3-----,RL,1301.0,2214N 07305E,22.14,73.05
381,910,IN PAJ,Pal,Pal,RJ,--3-----,RQ,1001.0,2613N 07258E,26.13,72.58
382,911,IN PAD,Palakkad,Palakkad,KL,--3-----,RL,1201.0,1047N 07639E,10.47,76.39
383,912,IN PAM,Palamu,Palamu,JH,--3-----,RL,1201.0,2355N 08417E,23.55,84.17
384,913,IN PKN,Palani,Palani,TN,--3-----,RL,1301.0,1027N 07730E,10.27,77.3
385,915,IN PLD,Paldi,Paldi,GJ,--3-----,RL,1301.0,2300N 07233E,23.0,72.33
386,916,IN PLJ,Palej,Palej,GJ,--3-----,RL,1301.0,2155N 07304E,21.55,73.04
387,917,IN PGR,Palghar,Palghar,MH,--3-----,RL,1301.0,1941N 07245E,19.41,72.45
388,918,IN PAL,Palghat,Palghat,KL,-23-----,RL,701.0,1047N 07639E,10.47,76.39
389,919,IN PAI,Pali,Pali,RJ,--3-----,RL,1201.0,2546N 07319E,25.46,73.19
390,925,IN PNA,Panchkula,Panchkula,HR,--3-----,RL,1201.0,3041N 07651E,30.41,76.51
391,926,IN 5PA,Paneli,Paneli,GJ,--3-----,RL,1407.0,2152N 07009E,21.52,70.09
392,931,IN PAA,Panna,Panna,MP,--3-----,RL,1201.0,2443N 08012E,24.43,80.12
393,932,IN NOL,Panoli,Panoli,GJ,-23-----,RL,1207.0,2132N 07258E,21.32,72.58
394,934,IN PVL,Panvel,Panvel,MH,--3-----,RL,607.0,1859N 07306E,18.59,73.06
395,935,IN PRT,Paradip Garh,Paradip Garh,OR,123-----,AA,307.0,2019N 08637E,20.19,86.37
396,937,IN PJT,Parantij,Parantij,GJ,--3-----,RL,1401.0,2326N 07251E,23.26,72.51
397,938,IN PAR,Parbhani,Parbhani,MH,--3-----,RL,1201.0,1916N 07647E,19.16,76.47
398,941,IN PTU,Patancheru,Patancheru,AP,--3-----,RL,1301.0,1731N 07815E,17.31,78.15
399,951,IN PBR,Perambalur,Perambalur,TN,--3-----,RL,1201.0,1114N 07853E,11.14,78.53
400,952,IN PLY,Periyapalayam,Periyapalayam,TN,--3-----,RL,1207.0,1319N 08003E,13.19,80.03
401,953,IN PRM,Pernem,Pernem,GA,--3-----,AA,1701.0,1543N 07348E,15.43,73.48
402,958,IN PHU,Phursungi,Phursungi,MH,--3-----,RL,1407.0,1828N 07359E,18.28,73.59
403,960,IN PLN,Pilani,Pilani,RJ,--3-----,RL,1807.0,2822N 07536E,28.22,75.36
404,961,IN PIL,Pilibhit,Pilibhit,UP,--3-----,RL,1201.0,2838N 07948E,28.38,79.48
405,964,IN PAV,Pipavav (Victor) Port,Pipavav (Victor) Port,GJ,123-----,AA,701.0,2058N 07133E,20.58,71.33
406,967,IN PBH,Piyala Block Hut,Piyala Block Hut,HR,-23-----,RL,2001.0,2827N 07731E,28.27,77.31
407,968,IN POL,Pollachi,Pollachi,TN,-23-----,AM,2101.0,1040N 07701E,10.4,77.01
408,969,IN PNY,Pondicherry,Pondicherry,PY,1-34-6--,AA,501.0,1155N 07949E,11.55,79.49
409,971,IN PON,Ponneri,Ponneri,TN,--3-----,RL,1207.0,1319N 08012E,13.19,80.12
410,977,IN PST,Positra,Positra,GJ,1-3-----,RL,401.0,2224N 06910E,22.24,69.1
411,979,IN PKM,Prakasam,Prakasam,AP,--3-----,RL,1907.0,1537N 07930E,15.37,79.3
